Course Code,Course Description
ECO 6522 Théorie microéconomique IV (3 crédits),"La théorie microéconomique, incluant des thèmes tels que la maximisation de l'utilité et les choix individuels, le processus décisionnel en présence d'incertitude, la théorie du producteur (technologie, coûts, et maximisation du profit), structures de marché (concurrence, monopole, et oligopole), équilibre général, et l'économie de l'information. Ce cours est équivalent à ECON 5020 à la Carleton University."
ECO 6530 Économie publique : Les dépenses (3 crédits),"La théorie des dépenses gouvernementales. Les thèmes étudiés peuvent inclure : biens publics et externalités, assurance sociale et redistribution, provision publique de santé et d'éducation, régimes publics de pensions et d'assurance-chômage. Ce cours est équivalent à ECON 5401 à la Carleton University."
ECO 6531 Économie publique : L'imposition (3 crédits),"L'étude des systèmes fiscaux. Les concepts d'équité et d'efficacité en fiscalité. L'imposition optimale de la consommation, des revenus et des capitaux. Les thèmes étudiés peuvent aussi inclure : l'économie politique liée à la fiscalité, le soutien aux individus à bas revenus, les taxes environnementales et l'évasion fiscale. Ce cours est équivalent à ECON 5402 à la Carleton University."
ECO 6532 Système fiscal du fédéralisme (3 crédits),Ce cours examine les aspects économiques du fédéralisme incluant la fiscalité et la redistribution des revenus et considère le système fédéral de gouvernement ainsi que les subventions intergouvernementales et les problèmes de stabilisation dans un contexte fédéral.
ECO 6533 Thèmes choisis en économie publique (3 crédits),"Les thèmes étudiés peuvent inclure : l'économie politique, l'incidence fiscale en équilibre général, la théorie et la pratique de la réforme fiscale, les approches normatives à la redistribution du revenu, la théorie de la prise de décisions non-marchandes, le secteur à but non-lucratif et la théorie du choix social. Ce cours est équivalent à ECON 5403 à la Carleton University."
ECO 6534 Thèmes choisis en économie publique de l'environnement et des ressources (3 crédits),"Les thèmes étudiés peuvent inclure : dimensions internationales de la réglementation environnementale, incluant les traités, la compétitivité, et les effets de la libéralisation des échanges; enjeux de développement, incluant la viabilité budgétaire, le mal hollandais, la malédiction des ressources, et la croissance de la population; thèmes liés aux ressources, incluant la taxation optimale, la comptabilité nationale verte, la théorie de la durabilité, et la rareté des ressources extractives. Ce cours est équivalent à ECON 5805 à la Carleton University."
ECO 6535 Thèmes choisis en organisation industrielle (3 crédits),"Les thèmes étudiés peuvent inclure les restrictions verticales et l'intégration verticale, l'innovation et la recherche et développement, l'économie des réseaux, la théorie des contrats, la théorie de la recherche, la publicité, et des études sectorielles. Ce cours est équivalent à ECON 5304 à la Carleton University."
ECO 6540 Organisation industrielle I (3 crédits),"Un examen des théories pertinentes à l'organisation industrielle et leurs applications sous forme d'études empiriques. Les thèmes incluent la théorie de l'oligopole, la différentiation du produit, et les comportements stratégiques. Ce cours est équivalent à ECON 5301 à la Carleton University."
ECO 6542 Organisation industrielle II (3 crédits),"Réglementation et politique de la concurrence comme approches alternatives pour influencer la conduite et la performance de l'industrie, et corriger les failles de marché. Les sujets étudiés peuvent inclure la réglementation incitative avec information asymétrique, la tarification fondée sur les coûts, la tarification de second rang, la tarification en période de pointe, la réglementation du taux de rendement, le plafonnement des prix, les prix d'accès, et le détournement de la réglementation. Ce cours est équivalent à ECON 5303 à la Carleton University."
ECO 6543 Économie des ressources naturelles (3 crédits),"Le concept de rente de rareté en environnements statique et dynamique. Régimes de propriété de base : libre accès, accès exclusif et propriété commune. Instruments de politiques. L'importance des coûts de transactions. Effets des régimes de propriété en équilibre général et considérations d'économie politique. Conflit. Éléments d'optimisation dynamique. Ressources renouvelables et non renouvelables. Ce cours est équivalent à ECON 5803 à la Carleton University."
ECO 6551 Économie de l'environnement (3 crédits),L'environnement comme capital naturel; techniques  d'évaluation environnementale; comptabilité environnementale; théorie et pratique de développement  durable; questions institutionnelles et problèmes de  politique publique. Ce cours est équivalent à ECON 5804 à la Carleton University.
ECO 6560 Théorie et politique du commerce international (3 crédits),"La théorie du commerce international et ses implications pour la politique économique sont examinées en mettant l'accent sur des sujets tels que les déterminants du commerce et de la spécialisation interne, les gains du commerce international et de la politique commerciale, la mobilité internationale des facteurs de production, croissance et développement. Ce cours est équivalent à ECON 5601 à la Carleton University."
ECO 6561 Les flux financiers internationaux : Théorie et politique (3 crédits),"La théorie monétaire internationale et ses implications pour la politique économique, en mettant l'accent sur des sujets tels que les sources d'équilibre et de déséquilibre dans la balance des paiements, l'ajustement de la balance des paiements aux conditions de taux de change fixes et fluctuants, mouvements internationaux des capitaux et problèmes récents du système monétaire international. Ce cours est équivalent à ECON 5602 à la Carleton University."
ECO 6562 Thèmes choisis en économie internationale (3 crédits),"Thèmes choisis en économie internationale, incluant l'analyse théorique, les méthodes quantitatives et la formulation, la mise en oeuvre et l'évaluation des politiques. Ce cours est équivalent à ECON 5603 à la Carleton University."
ECO 6570 Économie du Développement I (3 crédits),"Ce cours couvre des sujets à la frontière de l'économie du développement, combinant l'analyse théorique et empirique. Les sujets possibles incluent la croissance économique, le comportement des entreprises, les institutions et l'économie politique, entre autres. Ce cours est équivalent à ECON 5500 à la Carleton University."
ECO 6571 Économie du Développement II (3 crédits),"Ce cours se concentre sur une sélection de sujets actuellement à la frontière de la recherche en économie du développement. Les sujets possibles incluent la pauvreté et la répartition des revenus, les marchés du travail, les marchés financiers et l'éducation, entre autres. Ce cours est équivalent à ECON 5504 à la Carleton University."
ECO 6572 Thèmes choisis en économie du développement (3 crédits),Ce cours donne un aperçu de certains sujets d'intérêt actuel dans le domaine de l'économie du développement d'un point de vue théorique et empirique. Ce cours est équivalent à ECON 5505 à la Carleton University.
ECO 6573 Aspects environnementaux du développement économique (3 crédits),"Politiques du développement durable et de la qualité de l'environnement dans les pays en voie de développement. Thèmes étudiés : l'utilisation de l'énergie, la déforestation, la sécheresse et la désertification, l'épuisement des ressources naturelles, la dette, l'environnement et la pauvreté, le développement durable dans l'industrie et l'agriculture, les politiques de conservation, le contrôle de la pollution et les problèmes de l'environnement global. Ce cours est équivalent à ECON 5507 à la Carleton University."
ECO 6574 Économie de la santé (3 crédits),Survol des travaux classiques et de pointe du domaine de l'économie de la santé et des soins de santé.  Recherche empirique avec accent sur la théorie et la méthodologie. Le cours sera  pertinent également pour les étudiants intéressés par la recherche microéconomique empirique. Ce cours est équivalent à ECON 5460 à la Carleton University.
ECO 6575 Microéconométrie (3 crédits),"Analyse des concepts et outils utilisés en micro-économétrie avec un accent sur l'application empirique. Les thèmes pourraient inclure les modèles de choix discrets, les variables dépendantes limitées, les données de panel, les modèles de durée et l'évaluation de programmes, ainsi que des applications économiques pertinentes. Ce cours est équivalent à ECON 5712 à la Carleton University."
ECO 6576 Économétrie des séries chronologiques (3 crédits),"Analyse des concepts et outils utilisés en économétrie des séries chronologiques avec accent sur l'application empirique. Les thèmes pourraient inclure l'analyse de cointégration, les modèles à correction d'erreur, les modèles VAR, l'analyse de volatilité et les modèles de séries chronologiques non-linéaires, ainsi que des applications économiques pertinentes. L'accent est mis sur l'application empirique avec de solides fondements économétriques. Ce cours est équivalent à ECON 5713 à la Carleton University."
ECO 6580 Fondements de l'économie monétaire (3 crédits),Fondements microéconomiques de la théorie monétaire. Théories alternatives de l'existence de la monnaie et les fondements microéconomiques de l'intégration de la monnaie dans les modèles macroéconomiques agrégés. Ce cours est équivalent à ECON 5606 à la Carleton University.
ECO 6581 Thèmes choisis en économie monétaire (3 crédits),Présentation d'un ou plusieurs domaines de recherche courante à la frontière de l'économie monétaire. Ce cours est équivalent à ECON 5607 à la Carleton University.
ECO 6582 Économie monétaire et intermédiaires financiers (3 crédits),"Évolution du système financier et ses interrelations avec le processus d'offre de monnaie et avec la banque centrale. Théorie monétaire et financière et recherche empirique appliquée à l'analyse des problèmes institutionnels dans un contexte à la fois historique et contemporain. Les thèmes peuvent inclure les marchés du crédit, l'instabilité financière, les bulles, et les liens avec la politique de la banque centrale. Ce cours est équivalent à ECON 5608 à la Carleton University."
ECO 6583 Explorations en économie monétaire (3 crédits),"Explorations des aspects théoriques, des politiques et des études empiriques de la théorie monétaire. Ce cours est équivalent à ECON 5609 à la Carleton University."
ECO 6591 Économie du travail I (3 crédits),"Application de la théorie microéconomique et macroéconomique au marché du travail. Les thèmes abordés incluent l'offre et la demande de travail, la détermination des salaires, le capital humain et l'économie de l'éducation, et le chômage. Ce cours est équivalent à ECON 5361 à la Carleton University."
ECO 6592 Économie du travail II (3 crédits),"L'économie du personnel et la théorie des contrats. Les thèmes abordés incluent l'économie des syndicats, la discrimination, l'économie des ménages, le genre et la fécondité, et la mobilité de la main-d'oeuvre. Ce cours est équivalent à ECON 5362 à la Carleton University."
ECO 6593 Thèmes avancés en économie du travail (3 crédits),"Les thèmes pourraient inclure l'évaluation de programmes, les inégalités, le marché du travail et la santé, le marché du travail et la criminalité, et les estimations structurelles de modèles du marché du travail. Ce cours est équivalent à ECON 5363 à la Carleton University."
ECO 6704 Thèmes choisis en économie appliquée (3 crédits),Étude de thèmes choisis en économie appliquée; contenu variable selon l'année.
ECO 6900 Thèmes choisis en théorie économique / Selected Topics in Economic Theory (3 crédits / 3 units),Étude de thèmes choisis en théorie économique; contenu variable selon l'année. / Study of selected topics in economic theory; contents may change from year to year.
ECO 6904 Thèmes choisis en économie appliquée / Selected Topics in Applied Economics (3 crédits / 3 units),Étude de thèmes choisis en économie appliquée; contenu variable selon l'année. / Study of selected topics in applied economics; contents may change from year to year.
ECO 6906 Thèmes choisis en politique économique / Selected Topics in Economic Policy (3 crédits / 3 units),Étude de thèmes choisis en politique économique; contenu variable selon l'année. / Study of selected topics in economic policy; contents may change from year to year.
ECO 7001 Travail de recherche de deuxième année / Second Year Research Paper (3 crédits / 3 units),Ce cours facilite la transition vers la phase de recherche du programme. Les étudiants remplissent un document de recherche et le présentent officiellement dans un atelier départemental. / This course aids the transition to the research phase of the program. Students complete a research paper and formally present this paper in a departmental workshop.
ECO 7002 Atelier / Workshop (6 crédits / 6 units),Ce cours est équivalent à ECON 6907 à la Carleton University. / This course is equivalent to ECON 6907 at Carleton University.
ECO 7004 Atelier / Workshop (6 crédits / 6 units),Ce cours est équivalent à ECON 6908 à la Carleton University. / This course is equivalent to ECON 6908 at Carleton University.
ECO 7119 Mathematical Foundations for Economic Theory (3 units),"Mathematical techniques needed to understand micro- and macro-economic theory at the PhD level, and to carry out research. Real analysis. Review of static optimization. Continuous- and discrete-time dynamic optimization in deterministic and stochastic environments. Applications to economic theory are presented. This course is equivalent to ECON 6019 at Carleton University."
ECO 7126 Econometrics II (3 units),"Selected topics from estimating and testing the regression and simultaneous equation models. Topics include maximum likelihood estimation, statistical analysis of residuals, auto-regressive and other time-series models, multivariate regression model, and elements of asymptotic statistical theory within the context of the simultaneous equation model. This course is equivalent to ECON 6027 at Carleton University."
ECO 7177 Advanced Topics in Econometrics (3 units),Coverage of one or more areas of current econometric research. This course is equivalent to ECON 6714 at Carleton University.
ECO 7526 Économétrie II (3 crédits),"Thèmes choisis concernant l'estimation et les tests de modèles de régression et d'équations simultanées : estimateur du maximum de vraisemblance, analyse statistique des résidus, modèles autorégressifs et autres modèles de séries chronologiques, modèles de régressions multivariées, théorie asymptotique dans le contexte de modèles à équations simultanées. Ce cours est équivalent à ECON 6027 à la Carleton University."
ECO 7577 Thèmes avancés en économétrie (3 crédits),Étude d'un ou plusieurs domaines de recherche courante en économétrie. Ce cours est équivalent à ECON 6714 à la Carleton University.
ECO 7922 Théorie économique : microéconomie / PhD Microeconomic Theory I (3 crédits / 3 units),"Théorie microéconomique au niveau gradué avancé, incluant des thèmes tels que la théorie des jeux, les externalités et les biens publics, l'équilibre général, et le bien être. / Topics include demand, production, general equilibrium, and welfare economics."
ECO 7923 Théorie économique : macroéconomique / PhD Macroeconomic Theory I (3 crédits / 3 units),"Théorie macroéconomique au niveau gradué avancé avec emphase sur les modèles d'équilibre général dynamiques. Présentation des concepts théoriques principaux et exploration de la structure de base sous-jacente à ces modèles. Application à l'étude des décisions de consommation des ménages, d'investissement des entreprises, et à la croissance économique. / Analysis of dynamic macroeconomic systems, with applications to economic growth. Micro-foundations of modern macroeconomics, with a focus on solving dynamic optimization problems and applied to consumption, portfolio, and investment decisions, and to micro-founded growth models."
ECO 7924 Théorie microéconomique de doctorat II / PhD Microeconomic Theory II (3 crédits / 3 units),"Les sujets peuvent inclure la théorie des jeux, l'économie de l'information, les externalités et les biens publics. / Topics may include game theory, information economics, externalities and public goods."
ECO 7925 Théorie macroéconomique de doctorat II / PhD Macroeconomic Theory II (3 crédits / 3 units),"Modèles modernes d'équilibre général stochastique dynamique, tels que les modèles de cycle économique réel, les modèles de frictions du marché du travail et de frictions financières et les modèles d'agents hétérogènes. Les étudiants apprennent également des techniques de calcul pour résoudre et estimer ces modèles. / Modern dynamic stochastic general equilibrium models, such as real-business-cycle models, models of labour-market and financial frictions, and heterogeneous-agent models. Students also learn computational techniques to solve and estimate these models."
ECO 7980 Lectures dirigées / Directed  Readings (3 crédits / 3 units),Ce cours est équivalent à ECON 6904 à la Carleton University. / This course is equivalent to ECON 6904 at Carleton University.
EDU 4101 Curriculum Development and Evaluation (3 units),"Examination of theories, issues and strategies involved in designing educational programs and courses. Consideration of learning goals and outcomes, instructional methods and formats; strategies of assessments to support learning; evaluating achievement and program success."
"EDU 4102 Equity, Diversity and Inclusion in Education (3 units)","Examination of theories of equity in relation to sexism, racism, ableism, and other social inequalities; current trends in universal design and implications in diverse and inclusive settings."
EDU 4103 Theories of Teaching and Learning (3 units),Examination of major theoretical principles upon which teaching and learning may be based; emphasis on strategies addressing learning in diverse and inclusive settings.
"EDU 4104 Technologies and Education: Algorithms, AI and ABCs (3 units)","Critical examination of digital technologies and their usages in past, present and future educational systems. Exploration of innovative digital technologies and systems and usage of digital technologies to enhance the learning experience"
EDU 5101 Perspectives in Education (3 units),"Overview of key concepts, actors, practices and forms of organization in education; examination of diverse contexts and forms of education and their place and function in society; critical discussion of historical and contemporary debates in education. (This course is reserved for students in the M.Ed. extended program)."
EDU 5105 Inter-Professional Education in the Health Professions (3 units),"Examination of educational research, theory and practice related to the professional interdependence of work in the health concentration; study of the impact of interdisciplinary professional principles on teaching and learning strategies, curricular design, and evaluation strategies."
EDU 5113 Inclusive and Special Education (3 units),Critical examination of current issues and research in inclusive and special education.
EDU 5123 Current Issues in Science Education (3 units),Overview of theoretical and empirical perspectives on current issues in K-12 science education and their implications for science literacy.
EDU 5125 Connections in the Classroom : Social and Emotional Learning. (3 units),"Examination of the development and impact of social and emotional learning, including examination of best practices, research to practice gaps, and the application of social and emotional competencies in social, educational, and professional contexts."
EDU 5127 Mentoring and Coaching in Professional Contexts (3 units),Exploration of mentoring and coaching through the lens of professional learning and leadership with focus on students’ professional contexts.
EDU 5129 Integrating Patients' Voices into Health Professions Education (3 units),"Study of theory on and current evidence for the active involvement of patients in health professions education (HPE), including strategies for actively involving patients in HPE."
EDU 5146 Social and Political Issues in Second Language Education (3 units),Examination of social and political aspects of second/additional language education. Study of their influences on the processes of learning and teaching a second/additional language in educational context.
"EDU 5148 Technologies, Languages, and Education (3 units)","Study of the links between languages, technology and education. Analysis of the influence of social, political, cultural, material and technological elements on the use of digital technologies in language teaching and experiment with the necessary competences to use digital technologies in teaching languages."
EDU 5160 Mathematical Thinking Across the Mathematics Curriculum (3 units),Examination of the development of mathematical thinking with respect to a variety of concepts that appear in school mathematics curricula.
EDU 5188 Integration of Technology in Education (3 units),Examination of the implications on teaching practice and learning outcomes in the integration of technology studies across the curriculum.
EDU 5190 Introduction to Research in Education (3 units),"Introduces students to understanding and applying research in education: researching a topic, critical reading, overview of various types of applied research."
EDU 5199 Synthesis Seminar (3 units),Integration of theoretical knowledge to contribute to educational practice.
EDU 5202 Teaching Strategies for Health Professions Education (3 units),"Exploration of the concepts, strategies, and methods of instruction in health education; examination of how instruction supports student learning."
EDU 5206 Program Planning in Adult Education (3 units),"Exploration of the fundamental concepts necessary to understand program development in adult education; review of conceptual frameworks for planning, recruitment, evaluation and research on program implementation and program building, procedures for making programs more meaningful to adult learners."
EDU 5210 Philosophies of Education (3 units),Inquiry into selected philosophical perspectives and their effects on contemporary educational thought and practice.
EDU 5221 Historical Narratives and Education (3 units),"Critical examination of educational issues in historical perspective: exploration of the roles of race, class, ethnicity, religion and gender in education; historical narratives and their implications."
EDU 5222 Ethnographies in Education (3 units),"Ethnographic perspectives on schools and school cultures, and on the relations between education and broader social-cultural forces."
EDU 5230 Leadership in Educational Organizations (3 units),"Examination of selected approaches to leadership theory, training, and practice pertinent to the challenges of administration in contemporary educational organizations."
EDU 5232 Human Relations in Educational Administration (3 units),Examination of the working functions of administration in relation to people within and otherwise associated with educational organizations; study of motivation and decision-making within static and dynamic situations and of conflict within organizations.
EDU 5242 Trends in Second Language Teaching (3 units),Historical overview and critical analysis of methodological trends in second/additional language teaching and learning.
"EDU 5244 Bilingual, Multilingual and Minority Contexts of Language Education (3 units)",Examination of conceptualizations of bilingual and multilingual education in diverse contexts with an emphasis on Canada; analysis of issues related to the educational success of immigrants and members of minority groups and their integration into schools and society.
EDU 5253 Theories of Learning Applied to Teaching (3 units),Critical survey of theories of learning in historical and contemporary perspectives and their pedagogical implications for classroom practices.
EDU 5258 Learning Differences in Education (3 units),Examination and critical analysis of research and practice related to the teaching and learning of people with learning differences; diverse educational contexts and perspectives; social construction of exceptionalities.
EDU 5260 Introduction to Curriculum Studies (3 units),Overview of recurring curriculum issues in historical and contemporary perspectives; introduction to the practices of curriculum theorizing; investigation of the effects of shifting paradigms within the field of curriculum studies.
EDU 5261 Curriculum Design for Health Professions Education (3 units),Examination of theory for current practices related to curriculum design in health professions.
"EDU 5262 Curriculum, Culture and Technologies (3 units)","Exploration of the theoretical and practical issues of curriculum and program design in relation to culture and technology; examination of the relationships between curriculum, information culture, and E-learning; investigation of the impact of cyber curriculum on cultural identities of teachers and learners."
EDU 5263 Introduction to Educational Administration (3 units),"Survey of the theories, research, and practices that have shaped the field of educational administration as both an applied profession and as an area of scholarly inquiry; implications for people, educational structures, and institutional purposes."
EDU 5265 Internationalization of Curriculum Studies (3 units),"Investigation of contemporary issues in curriculum studies within an international context: analysis of curriculum reform initiatives in other countries; examination of current trends in international and transnational curriculum movements; exploration of alternative curricular arrangements within global, national, and local contexts."
EDU 5270 Professional Ethics in Counselling Psychology (3 units),Examination of professional ethical standards and codes of conduct for counsellors and psychotherapists; legal and legislative context of counselling and psychotherapy; application of ethical decision making; ethical dimensions of professional relationships.
EDU 5271 Counselling and Psychotherapy: Theories and Practices I (3 units),Critical examination of major personality and counselling theories.
EDU 5274 Tests and Measurement in Counselling Psychology (3 units),"Examination of common tests and inventories used in counselling and psychotherapy; selection, administration, scoring and interpretation of tests in counselling and psychotherapy settings."
EDU 5286 Technology and Health Professions Education (3 units),"Study of the impact of computer technology on communication and instructional techniques for health professions education; exploration of distance education, on-line learning, and low and high fidelity simulation."
EDU 5287 Emerging Technologies and Learning (3 units),"Research, theory and practice concerning the use of emerging technologies to facilitate learning; the impact of new media on teaching and learning strategies, on curriculum change, on learner attitudes and motivation, and on higher order learning."
EDU 5298 Student Assessment Strategies for Health Professions Education (3 units),"Exploration of the assessment formats used to evaluate the domains of clinical competence in health care professional training at both the undergraduate and postgraduate levels; anlaysis of written and oral examinations, oral and performance-based testing."
EDU 5299 Program Evaluation: Methods and Practice (3 units),"Exploration of principles of effective program evaluation methods; planning; instrument development; data collection, processing and analysis; reporting and follow-up; survey of diverse models of evaluation."
EDU 5301 Principles of Educational Planning for the Health Professions - Part I (3 units),"Exploration of practical approaches to planning, implementing, and evaluating programs in health professions education, examination of learning needs, learning objectives, learning methods and program evaluation."
EDU 5302 Principles of Educational Planning for the Health Professions - Part II (3 units),"Exploration of concepts related to curricular reform, implementation of changes in education, selection of approaches to enable learning, and development of valid methods for evaluation of learning and programs of studies in the health professions."
EDU 5357 Current Issues in Mathematics Education (3 units),"Examination of current issues associated with mathematics education, such as educational equity, inquiry-based learning, classroom diversity, and the role of technology."
EDU 5358 Teaching and Learning in the Arts (3 units),"Examination of the theoretical foundations of arts-based instruction and arts integration; investigation of the current methods of teaching, learning and evaluation in, about, with and through the arts in a variety of program areas."
EDU 5381 Creativity in Educational Settings (3 units),Analysis of theories of creativity in educational settings and their applications to education.
EDU 5384 Integrated Approaches to Language Curriculum (3 units),"Theories and principles underlying the integrated approach to the teaching, learning and assessment of language and literacy (oral and written communication and media literacy); applications of language and literacy practices in specific contexts."
EDU 5385 Critical Perspectives on Children's Literature and Learning (3 units),Critical investigation of children's literature as a factor in social learning.
EDU 5386 Seminar on Literacy (3 units),Theoretical perspectives in various areas of the field of literacy.
EDU 5391 Interaction of Research and Practice (3 units),"Examination of the strengths, challenges, limitations and possibilities for enhancing research-based practice and practitioner-relevant research using quantitative and/or qualitative research."
EDU 5399 Development of Assessment Instruments (3 units),"Study of the modalities of assessment of knowledge, skills, attitudes and performance; strategies for developing instruments to assess students learning; examination of instrument quality."
EDU 5461 Managing Change in Educational Organizations (3 units),"Critical examination of current literature on managing change in educational organizations; theories of change, restructuring, organizational reform and improvement."
EDU 5463 Cultural Studies and Education: Theory and Praxis (3 units),"Introduction to the interdisciplinary study of contemporary popular culture including theories of representation, texts, social identities, and their implications for school practices."
EDU 5465 Globalization and Comparative Education (3 units),Examination of the interaction between globalization and education; theories of mass education in developing and industrialized countries; comparative perspectives on issues of educational innovation and reform.
EDU 5466 Racism and Antiracism in Education (3 units),"Theories of ""race"", racism and antiracism in education; exploration of the challenges of anti-racist education and change."
EDU 5471 Skill Development in Counselling and Psychotherapy (3 units),"Examination of counselling and psychotherapy models, methods and skills; focus on developing personal resources in verbal and non-verbal communication within counselling and psychotherapy models."
EDU 5473 Theories of Career Development (3 units),Analysis of career development theories with emphasis on issues in career decision making and transition.
EDU 5499 Current Methods of Student Assessment (3 units),"Essential principles, concepts, skills relative to the selection, construction, critique and use of current student assessment methods; emphasis on classroom practices and large-scale assessments."
EDU 5501 Perspectives en éducation (3 crédits),"Vue d'ensemble du domaine de l'éducation : concepts clés, pratiques professionnelles, différents acteurs et organisations en éducation; examen des divers contextes éducationnels et leur place dans la société; discussions critiques des grands débats historiques et contemporains en éducation. (Ce cours est réservé aux étudiants inscrits au programme prolongé de la M.Éd)."
EDU 5504 Séminaire d'intégration en évaluation de programmes (3 crédits),"Intégration des théories, de la recherche et de la pratique en rapport avec l'évaluation de programmes. Production d'un rapport de recherche sur un thème lié à la théorie et/ou la pratique en évaluation de programmes."
EDU 5505 Formation interprofessionnelle dans le domaine de la santé (3 crédits),"Étude des théories et pratiques reliées à l'interdépendance professionnelle du travail et de l'éducation dans le domaine de la santé. Étude de l'impact des principes interdisciplinaires et interprofessionnels sur les stratégies d'enseignement, d'apprentissage et d'évaluation ainsi que sur l'élaboration des programmes d études."
"EDU 5513 Langues, minorités et inclusion (3 crédits)","Études des fondements sociolinguistiques et sociodidactiques de l’éducation et de l’inclusion en milieux linguistiques minoritaires. Comparaison entre les francophonies canadiennes et autres contextes linguistiques minoritaires dans le monde. Analyse d’enjeux liés à l’oralité, l’insécurité linguistique et la variation linguistique dans ces contextes et d’approches pédagogiques, évaluatives et communicationnelles."
EDU 5514 Education dans une perspective autochtone (3 crédits),"Examen des perspectives autochtones sur l’école et la culture scolaire. Relations entre l’éducation et les contextes socio-culturels chez les Premières nations, Inuits et Métis. Explorations des réalités autochtones en milieu francophone minoritaire."
EDU 5515 Récits et éducation (3 crédits),"Analyse de la multiplicité des récits historiques et de leurs implications en éducation et inclusion dans les francophonies canadiennes et autres contextes linguistiques minoritaires. Étude de l’impact sur l’éducation et l’inclusion de catégories ethnoraciales, de classes sociales, de langues, de religions, d’ethnicité, de genres en milieux linguistiques minoritaires."
EDU 5517 Education et genre (3 crédits),"Étude des thématiques recoupant les questions portant sur l’éducation à la sexualité, l’égalité filles-garçons à l’école, les constructions genrées, l’intersectionnalité, l’inclusion des personnes LGBTQ2S+ et les normativités de genre et d’orientation sexuelle en contexte éducationnel. Intégration de ces diverses questions dans les différentes matières scolaires en contexte minoritaire."
EDU 5519 Antiracismes et éducation (3 crédits),"Étude du courant de pensée et de recherche critique/antiraciste en tenant compte des politiques, des programmes et des pratiques en éducation de langue française. Examen des intersections entre perspectives antiracistes, multiculturalistes et interculturalistes en lien aux pédagogies dans un contexte francophone minoritaire"
EDU 5520 Stages en Éducation et inclusion en milieux linguistiques minoritaires (3 crédits),Stages en éducation et inclusion en milieux linguistiques minoritaires
EDU 5522 Séminaire en curriculum (3 crédits),"Examen critique des programmes, des narratifs sous-jacents, étude comparative et spatio-temporelle des curricula et examen de ceux-ci en milieu éducatif minoritaire."
EDU 5546 Aspects sociaux et politiques de l'apprentissage et de l'enseignement d'une langue seconde (3 crédits),Examens des aspects sociaux et politiques inhérents à l'apprentissage et à l'enseignement d'une langue seconde en contexte éducatif. Étude de leur influence sur l'apprentissage et l'enseignement d'une langue seconde.
"EDU 5548 Technologies, langues et éducation (3 crédits)","Étude des liens qui unissent langues, technologies et éducation. Analyse de l'influence d’éléments sociaux, politiques, culturels, matériels et technologiques sur l'utilisation des technologies numériques dans l'enseignement des langues et expérimenterons de façon créative avec les compétences nécessaires à l’usage des technologies numériques dans l'enseignement des langues."
EDU 5578 Information scolaire et professionnelle (3 crédits),"Aperçu de l'organisation et du fonctionnement des services d'orientation et d'information scolaires et professionnelles. Étude des différents systèmes provinciaux. Analyse, évaluation, classification et utilisation de différents types de documents. Initiation aux banques de données informatisées."
EDU 5581 Sciences et diversités (3 crédits),Analyse des conditions de production du savoir scientifique dans divers contextes socio-culturels. Identification et analyse des principales problématiques reliées à l'enseignement et à l'apprentissage des sciences.
EDU 5582 Modèles médiatisés d'enseignement (3 crédits),Étude des modèles médiatisés d'enseignement et de leurs applications en présentiel et à distance. Analyse des facteurs individuels et structurels de la réussite de ces modèles.
EDU 5583 Créativité et éducation (3 crédits),"Analyse des théories de la créativité. Identification de liens entre le processus créateur, l'enseignement et l'apprentissage auprès d'une diversité d'apprenants. Mise en perspective dans les champs disciplinaires."
"EDU 5584 Dimensions, stratégies et gestion des apprentissages (3 crédits)",Étude des dimensions entrant en jeu dans la gestion des apprentissages en milieu éducatif et scolaire. Conception et révision de modèles d'enseignement et de leurs liens avec la gestion des apprentissages.
EDU 5585 Psychopédagogie de l'enfance et de l'adolescence (3 crédits),"Étude du développement et de l'apprentissage des compétences physiques, émotives, sociales et cognitives d'enfants d'âges préscolaire et scolaire, incluant l'adolescent. Analyse de modèles d'intervention éducative adaptée et des modèles de prévention des difficultés chez l'enfant et l'adolescent."
EDU 5590 Introduction à la recherche en éducation (3 crédits),Initiation à la consultation et à l'utilisation de la recherche en éducation : documentation d'une problématique; lecture critique; initiation aux différents types de recherche appliquée.
EDU 5599 Séminaire de synthèse (3 crédits),Démarche vers une intégration des savoirs théoriques et pratiques qui doit contribuer à la pratique éducative.
EDU 5600 L'apprentissage à l'âge adulte (3 crédits),Examen des théories de l'apprentissage appliquées à l'éducation de l'apprenant adulte. Analyse critique des modèles de mises en pratique de ces théories en situation d'apprentissage.
EDU 5602 Stratégies d’enseignement en santé (3 crédits),"Études des concepts, des stratégies et des enjeux de la formation des professionnels de la santé. Examen de la manière dont les pratiques d'enseignement favorisent l'apprentissage des étudiants."
EDU 5611 Éthique professionnelle en éducation (3 crédits),Étude des concepts et principes du jugement éclairé dans la résolution de dilemmes éthiques. Analyse des enjeux d'une éthique professionnelle.
EDU 5616 Principales problématiques en éducation (3 crédits),"Étude des problématiques de l'éducation reliées aux approches philosophiques, aux buts, aux programmes d'études, aux méthodes, aux structures et aux personnels en éducation."
EDU 5618 Éducation comparée (3 crédits),Analyse comparative des systèmes éducationnels au Canada et sur le plan international. Analyse des différentes réformes en cours. Étude des tendances en éducation.
EDU 5630 Le leadership en milieu éducatif (3 crédits),"Étude des thèmes et concepts de base en comportement organisationnel appliquées à l'environnement scolaire. Examen des principaux modèles, rôles et pratiques du leadership."
